variety,modal,sentence,a1sense,a2sense,a3sense,tag,original sentence
CanadianEnglish,may,It appears that there may be sub stantial differences within the pro vincial and federal AIDS and health bureaucracies over what strategy to adopt in dealing with AIDS,epistemic,epistemic,epistemic,<ICE-CAN:W2C-019#71:3>,"It appears that there may be sub <l> stantial differences within
 
 the pro <l> vincial and federal AIDS and health bureaucracies over what
 
 strategy to adopt in dealing with AIDS.
 "
CanadianEnglish,may,This is not because of the lack of natural intelli gence but with the honest belief that some of the principles of artificial intelligence may help in the application of existing hydrological concepts and act as an inspiration for develop ment and new discoveries,epistemic,epistemic,epistemic,<ICE-CAN:W2A-031#29:1>,"This is not because of the lack of <quote> "" natural"" </quote>
 
 intelli <l> gence, but with the honest belief that some of the principles of
 
 artificial intelligence may help in the application of existing hydrological
 
 concepts and act as an inspiration for develop <l> ment and new discoveries.
 
 </p>
 
 <p> "
CanadianEnglish,may,Empirical data collected on other otariid species of differing body size however suggest that this value may be slightly high owing to the assumption of similar relative transport costs between juveniles and adults P J Ponganis personal communication,epistemic,epistemic,epistemic,<ICE-CAN:W2A-030#87:1>,"Empirical data collected on other otariid species of differing body
 
 size, however, suggest that this value may be slightly high owing to the
 
 assumption of similar relative transport costs between juveniles and adults (
 
 P. J. Ponganis, personal communication).
 "
CanadianEnglish,may,They may also accuse the guilty or fail to see anything at all,epistemic,epistemic,epistemic,<ICE-CAN:W1A-018#33:1>,"They may also accuse the guilty or fail to see anything at all. </p>
 
 <p> "
CanadianEnglish,may,I recognize that there are many pressures on limited financial resources of each individual and that substantial support may not be possible for all,epistemic,epistemic,epistemic,<ICE-CAN:W1B-020#94:5>,"I recognize that there are many pressures on limited financial
 
 resources of each individual and that substantial support may not be possible
 
 for all.
 "
CanadianEnglish,may,Though in In the beginning Ellen may cling to her husband Mr Roxburgh like moss to a rock but after but after she is unfaithful,epistemic,epistemic,epistemic,<ICE-CAN:W1A-019#16:1>,"<del> Though in </del> In the beginning, Ellen may cling to her
 
 husband, Mr. Roxburgh, like moss to a rock <del> but after but after she is
 
 unfaithful </del> .
 "
CanadianEnglish,may,You may be eligible for a Division of Unadjusted Pensionable Earnings Pension Credits under the Canada Pension Plan if,epistemic,epistemic,epistemic,<ICE-CAN:W2D-009#X92:1>,"You may be eligible for a Division of Unadjusted Pensionable
 
 Earnings ( <mention> "" Pension Credits"" </mention> ) , under the Canada
 
 Pension Plan if: <l>
 
 <p> "
CanadianEnglish,may,Writing in Henry James Morgan defended his listing of newspaper editors and writers in his Bibliotheca Canadensis by saying In our young country our principal newspapers may be considered as holding no unimpor tant position in Literature,epistemic,epistemic,epistemic,<ICE-CAN:W2A-004#7:1>,"Writing in 1868, Henry James Morgan defended his listing of newspaper
 
 editors and writers in his <it> Bibliotheca Canadensis </it> by saying, <X>
 
 <quote> "" In our young country ... our principal newspapers may be considered
 
 as holding no unimpor <l> tant position in Literature.
 "
CanadianEnglish,may,But that may mean one hour or two hours,epistemic,epistemic,epistemic,<ICE-CAN:W2B-002#17:1>,"But that may mean one hour or two hours.""
 "
CanadianEnglish,may,It's like an election campaign he explained to the Toronto Globe and Mail in what may go down as famous last words,epistemic,epistemic,epistemic,<ICE-CAN:W2E-003#66:2>,"<quote> "" It's like an election campaign,"" </quote> he explained
 
 to the Toronto Globe and Mail, in what may go down as famous last words.
 "
